,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a man with moustache in a black suit,0.7090265154838562,0.5818815231323242,0.4476378858089447,0.5500896573066711,0.5822451114654541,0.5320603847503662,0.4627789258956909,0.5157812237739563,0.54343581199646,0.45155295729637146,0.7586615681648254,0.53030925989151,0.48943808674812317,0.6132749915122986,0.5897740125656128,0.4883546531200409,0.3991510570049286,0.40007734298706055,0.4740974009037018,0.5317967534065247
"a mother, a daughter and a son",0.6387871503829956,0.6719919443130493,0.6186201572418213,0.6196506023406982,0.7798198461532593,0.6412781476974487,0.612381637096405,0.6705294251441956,0.6921711564064026,0.4827086627483368,0.6781255006790161,0.745478630065918,0.6822688579559326,0.7199445962905884,0.5236979722976685,0.5623103380203247,0.5335115194320679,0.5512921810150146,0.6603676676750183,0.653075098991394
a pot of flowers near the closed window in the back,0.42865443229675293,0.5680592656135559,0.7518346309661865,0.5622207522392273,0.5421621203422546,0.612250804901123,0.6011210680007935,0.5974423289299011,0.5976682305335999,0.5229598879814148,0.49864470958709717,0.5833151340484619,0.7634011507034302,0.6086884140968323,0.4790375232696533,0.49286359548568726,0.5891829133033752,0.666837751865387,0.6376386880874634,0.6292809844017029
a red haired woman in a green dress,0.5010563731193542,0.6417121887207031,0.6001211404800415,0.59039306640625,0.5682104229927063,0.5734255909919739,0.5118590593338013,0.5589343309402466,0.5545693635940552,0.5483837723731995,0.6056348085403442,0.605050265789032,0.5858607292175293,0.6670746803283691,0.5845261216163635,0.5514565706253052,0.5303800106048584,0.5614805221557617,0.5393943786621094,0.5971308350563049
a statue of a man head,0.6330205202102661,0.526620090007782,0.5161871910095215,0.5398144125938416,0.49206221103668213,0.5314202904701233,0.4721807837486267,0.5220155119895935,0.46226418018341064,0.4045872092247009,0.6062488555908203,0.5451697111129761,0.4557377099990845,0.5213125944137573,0.7343603372573853,0.5192582607269287,0.49978113174438477,0.4788869619369507,0.4747771620750427,0.5369330644607544
bald men in black sitting in a dark room,0.6610289216041565,0.5543844699859619,0.48522433638572693,0.5538613200187683,0.7280216217041016,0.5596223473548889,0.512110710144043,0.5276364684104919,0.592004120349884,0.4250895082950592,0.6377153396606445,0.5763356685638428,0.5216572284698486,0.5768383741378784,0.5567476153373718,0.5994230508804321,0.4504004716873169,0.42618006467819214,0.5012039542198181,0.5439718961715698
forest with white tree barks,0.4570925831794739,0.5572137832641602,0.6936740875244141,0.6741243004798889,0.5270929336547852,0.7795075178146362,0.7318903803825378,0.7631001472473145,0.6794795989990234,0.5031806826591492,0.49398860335350037,0.6617727279663086,0.6788429021835327,0.6358214616775513,0.49097833037376404,0.506309449672699,0.8027688264846802,0.6856231093406677,0.7048577070236206,0.820355236530304
multiple jars of flowers,0.5059351921081543,0.6031998991966248,0.7817645072937012,0.6202261447906494,0.5745481252670288,0.6835981607437134,0.5682004690170288,0.693307638168335,0.6798058748245239,0.5414012670516968,0.5853413939476013,0.6793534755706787,0.7574237585067749,0.6729797124862671,0.5300379991531372,0.5508824586868286,0.6393927335739136,0.7356776595115662,0.666621208190918,0.6892996430397034
people socializing downtown,0.5860573649406433,0.5097382068634033,0.474629282951355,0.5365425944328308,0.6796591281890869,0.5881034135818481,0.5713456273078918,0.6263754367828369,0.7052441239356995,0.35168686509132385,0.5932232737541199,0.5867128968238831,0.5424501895904541,0.5786926746368408,0.4509110450744629,0.45643261075019836,0.4792524576187134,0.5166188478469849,0.6602305173873901,0.6210982203483582
some trees with a pond in the background,0.5505282878875732,0.5698308348655701,0.6298190951347351,0.7134219408035278,0.58890700340271,0.7973957657814026,0.7024880051612854,0.788274884223938,0.7438172698020935,0.4775412082672119,0.5803177356719971,0.6691217422485352,0.6631235480308533,0.6759141683578491,0.529832124710083,0.5218538045883179,0.7159842252731323,0.6197117567062378,0.630427896976471,0.8251595497131348
