,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a man with moustache in a black suit,0.55859375,0.419921875,0.03125,0.01953125,0.232421875,0.004119873046875,0.043212890625,0.10205078125,0.003326416015625,0.240234375,0.625,0.34375,0.234375,0.296875,0.162109375,0.1767578125,-0.0206298828125,0.005523681640625,0.0986328125,-0.00390625
"a mother, a daughter and a son",0.34765625,0.462890625,0.0517578125,0.0245361328125,0.330078125,-0.0279541015625,0.005615234375,0.2041015625,0.01092529296875,0.058837890625,0.2197265625,0.5859375,0.279296875,0.400390625,0.0216064453125,0.162109375,0.00830078125,0.0079345703125,0.06298828125,-0.03271484375
a pot of flowers near the closed window in the back,0.1640625,0.1845703125,0.1611328125,-0.00701904296875,0.2490234375,0.01165771484375,0.00946044921875,0.1259765625,0.0002765655517578125,0.0240478515625,0.060791015625,0.2099609375,0.34375,0.142578125,0.01214599609375,0.040283203125,0.025390625,0.09912109375,0.060546875,0.00531005859375
a red haired woman in a green dress,0.28515625,0.609375,0.048828125,0.019287109375,0.25390625,-0.00115203857421875,0.00113677978515625,0.1669921875,0.032470703125,0.038818359375,0.2001953125,0.482421875,0.2275390625,0.45703125,0.10205078125,0.115234375,0.0201416015625,-0.002777099609375,0.103515625,-0.00830078125
a statue of a man head,0.341796875,0.2177734375,0.0252685546875,0.0087890625,0.03564453125,-0.0079345703125,0.00616455078125,0.050048828125,0.0264892578125,0.091796875,0.3046875,0.1787109375,0.09130859375,0.158203125,0.67578125,0.12255859375,-0.0089111328125,0.0159912109375,0.04736328125,-6.616115570068359e-06
bald men in black sitting in a dark room,0.490234375,0.19921875,0.07470703125,-0.001953125,0.2255859375,0.0142822265625,-0.0018768310546875,0.091796875,-0.006805419921875,0.05419921875,0.240234375,0.26953125,0.171875,0.1708984375,0.0517578125,0.2177734375,-0.048095703125,-0.00118255615234375,0.035400390625,-0.0286865234375
forest with white tree barks,0.09716796875,0.18359375,-0.006744384765625,0.00084686279296875,0.1318359375,0.2060546875,0.2265625,0.255859375,0.0098876953125,0.000400543212890625,0.0458984375,0.14453125,0.1923828125,0.08447265625,0.02001953125,0.0025634765625,0.70703125,-0.00225830078125,0.1044921875,0.1884765625
multiple jars of flowers,0.1416015625,0.1796875,0.275390625,0.0230712890625,0.244140625,0.0145263671875,-0.0023193359375,0.1689453125,0.0218505859375,-0.01019287109375,0.045166015625,0.1767578125,0.470703125,0.09228515625,0.049560546875,0.0625,0.002471923828125,0.478515625,0.10986328125,0.0162353515625
people socializing downtown,0.232421875,0.283203125,0.0201416015625,-0.0011444091796875,0.314453125,0.0286865234375,0.06640625,0.294921875,0.04150390625,-0.0260009765625,0.109375,0.36328125,0.275390625,0.1865234375,0.01275634765625,0.08447265625,0.049560546875,0.044921875,0.251953125,0.039794921875
some trees with a pond in the background,0.189453125,0.1845703125,0.017578125,0.046875,0.1201171875,0.2412109375,0.08740234375,0.33203125,0.034423828125,-0.01361083984375,0.1044921875,0.1806640625,0.162109375,0.1181640625,0.01190185546875,0.05419921875,0.15625,0.01495361328125,0.07373046875,0.318359375
