,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a man with moustache in a black suit,0.7217228412628174,0.5547305345535278,0.41928359866142273,0.4199002981185913,0.5775187015533447,0.45000648498535156,0.3223564922809601,0.5179016590118408,0.4456283450126648,0.4484010338783264,0.7114443778991699,0.5437275171279907,0.5082347393035889,0.6160614490509033,0.6027469038963318,0.540462851524353,0.3777019679546356,0.3950077295303345,0.4550009071826935,0.5328000783920288
"a mother, a daughter and a son",0.6439682245254517,0.641779899597168,0.5862346887588501,0.4876888692378998,0.7822461128234863,0.5582429766654968,0.4591110646724701,0.6919353008270264,0.5190074443817139,0.49696123600006104,0.5288755297660828,0.8009543418884277,0.6956222057342529,0.7152564525604248,0.5325356721878052,0.6290861964225769,0.5141369700431824,0.5421133041381836,0.6187210083007812,0.6502256989479065
a pot of flowers near the closed window in the back,0.4071424901485443,0.5807441473007202,0.7090557217597961,0.5070074200630188,0.5656771659851074,0.571529746055603,0.46936294436454773,0.6359853744506836,0.535031259059906,0.4664999544620514,0.3954826593399048,0.5972643494606018,0.775901734828949,0.5970262289047241,0.48133599758148193,0.5732836127281189,0.593956708908081,0.6614807844161987,0.6269031167030334,0.6395288705825806
a red haired woman in a green dress,0.49610981345176697,0.618222713470459,0.589454710483551,0.5037193894386292,0.5783241987228394,0.5329005122184753,0.4092344045639038,0.5685608386993408,0.5234496593475342,0.5133563876152039,0.5681450366973877,0.6141056418418884,0.601455807685852,0.662248969078064,0.6104896068572998,0.6113946437835693,0.506665050983429,0.5406348705291748,0.5261767506599426,0.5903868675231934
a statue of a man head,0.6196568012237549,0.5244113206863403,0.4879319667816162,0.4354454278945923,0.4856780767440796,0.4921688735485077,0.38999587297439575,0.5221359729766846,0.43666690587997437,0.45084547996520996,0.5899540185928345,0.54273521900177,0.4642162024974823,0.5154492855072021,0.7124740481376648,0.562401294708252,0.4914291799068451,0.4643639028072357,0.4729546308517456,0.555403470993042
bald men in black sitting in a dark room,0.684251070022583,0.5188374519348145,0.4597169756889343,0.41586530208587646,0.7420713901519775,0.48864543437957764,0.3715912997722626,0.5503530502319336,0.49282026290893555,0.43975645303726196,0.5661216974258423,0.6346059441566467,0.5384712219238281,0.5813641548156738,0.5844032764434814,0.6654810905456543,0.4461745023727417,0.41729843616485596,0.4806312322616577,0.5720393657684326
forest with white tree barks,0.45417723059654236,0.5931384563446045,0.6589471101760864,0.660186231136322,0.5383028984069824,0.793314516544342,0.6654953956604004,0.7671386003494263,0.6221494078636169,0.5647026300430298,0.37255972623825073,0.6300965547561646,0.6833376288414001,0.6372167468070984,0.5031381249427795,0.5941436290740967,0.7570650577545166,0.7065392732620239,0.7275232076644897,0.8120095729827881
multiple jars of flowers,0.5012062788009644,0.6004189252853394,0.7681597471237183,0.5055343508720398,0.6081454753875732,0.626895546913147,0.46431440114974976,0.7334487438201904,0.5990195274353027,0.563064694404602,0.47125011682510376,0.6705833673477173,0.7676792144775391,0.6681744456291199,0.540955662727356,0.6107280254364014,0.6182596683502197,0.7334986329078674,0.6496200561523438,0.67791748046875
people socializing downtown,0.577606737613678,0.488112211227417,0.44622498750686646,0.4309130907058716,0.6906145811080933,0.5034890174865723,0.42411547899246216,0.6788896322250366,0.47928479313850403,0.39577651023864746,0.4724487066268921,0.6574241518974304,0.5691709518432617,0.5941547155380249,0.4687725305557251,0.5169392824172974,0.46381881833076477,0.5049290657043457,0.6437052488327026,0.6261252164840698
some trees with a pond in the background,0.5442211627960205,0.5752722024917603,0.5966052412986755,0.6129932999610901,0.5926222801208496,0.7436766624450684,0.5856300592422485,0.8019347190856934,0.6194436550140381,0.5058533549308777,0.48136577010154724,0.6628191471099854,0.6652181148529053,0.6675167083740234,0.5524802207946777,0.576225996017456,0.6841984987258911,0.5926631689071655,0.6244645714759827,0.8337210416793823
