,a bearded man in black sitting at a desk,a black haired woman dressed in white,a black vase of red flowers in the red background,a duck,a family having dinner,a forest with 3 tall trees standing out,a forest with a cabin in the middle,a forest with houses in front,a house with some trees with people standing on the grass,a man in black tuxedo standing,a man with moustache in a black suit,"a mother, a daughter and a son",a pot of flowers near the closed window in the back,a red haired woman in a green dress,a statue of a man head,bald men in black sitting in a dark room,forest with white tree barks,multiple jars of flowers,people socializing downtown,some trees with a pond in the background
a man with moustache in a black suit,0.7215862274169922,0.5544666051864624,0.4192342758178711,0.4196624457836151,0.5772595405578613,0.44982779026031494,0.3222012221813202,0.5177392959594727,0.4455237090587616,0.4481850266456604,0.7114968299865723,0.5435115098953247,0.5080507397651672,0.615813136100769,0.6026875972747803,0.5399748086929321,0.37759095430374146,0.39477473497390747,0.4547188878059387,0.532792866230011
"a mother, a daughter and a son",0.6439414620399475,0.6416441202163696,0.5864336490631104,0.4876728057861328,0.7822016477584839,0.5583077669143677,0.45919328927993774,0.6918480396270752,0.5191696882247925,0.49703752994537354,0.5289467573165894,0.800905704498291,0.6955873966217041,0.71513831615448,0.5325319766998291,0.6290240287780762,0.5142663717269897,0.5421221256256104,0.6186835765838623,0.6504137516021729
a pot of flowers near the closed window in the back,0.40731680393218994,0.580794632434845,0.7090857028961182,0.5070083737373352,0.5657596588134766,0.5716216564178467,0.46933019161224365,0.6362046599388123,0.5351644158363342,0.4665243923664093,0.39564502239227295,0.5973660945892334,0.7759721279144287,0.5971246957778931,0.48149001598358154,0.5733163356781006,0.5940616130828857,0.6614807844161987,0.6269378066062927,0.6395930051803589
a red haired woman in a green dress,0.4960545003414154,0.6182053685188293,0.5894992351531982,0.5037169456481934,0.5783125162124634,0.5329757928848267,0.40926092863082886,0.5685898661613464,0.5235156416893005,0.5134081244468689,0.5681074261665344,0.6141355633735657,0.6014209985733032,0.6621921062469482,0.6104587316513062,0.6113089323043823,0.5067570805549622,0.5406544804573059,0.5262254476547241,0.590387225151062
a statue of a man head,0.6196563243865967,0.5243476033210754,0.48786965012550354,0.4354150891304016,0.4856549799442291,0.4921954870223999,0.3899279832839966,0.5221672654151917,0.43663763999938965,0.4507914185523987,0.589971661567688,0.5427137613296509,0.46419093012809753,0.5154249668121338,0.7125193476676941,0.5622754096984863,0.49145328998565674,0.46434614062309265,0.4729028344154358,0.5553733706474304
bald men in black sitting in a dark room,0.684258222579956,0.5188217759132385,0.4598638415336609,0.4158705770969391,0.7420406341552734,0.4886205494403839,0.37142011523246765,0.550349235534668,0.4928285479545593,0.4396965801715851,0.5660611987113953,0.6346203088760376,0.5384602546691895,0.581276535987854,0.5843780636787415,0.6651908159255981,0.4462641477584839,0.417224258184433,0.48059409856796265,0.5722144842147827
forest with white tree barks,0.4542650282382965,0.5931689739227295,0.658886194229126,0.6601646542549133,0.5382999181747437,0.7933881282806396,0.6655093431472778,0.7672529816627502,0.6223262548446655,0.564743161201477,0.37259235978126526,0.6301229000091553,0.6833164691925049,0.6372517347335815,0.5031318068504333,0.5941210389137268,0.7571032047271729,0.7065585255622864,0.7275549173355103,0.8118249177932739
multiple jars of flowers,0.5012927055358887,0.60040283203125,0.7682239413261414,0.5054787993431091,0.6081686019897461,0.6269152164459229,0.46425601840019226,0.7335084676742554,0.5990626811981201,0.5630181431770325,0.47129809856414795,0.6706113815307617,0.7676904201507568,0.6682213544845581,0.5409567952156067,0.6106685400009155,0.6182430386543274,0.7334855794906616,0.6495846509933472,0.6780487895011902
people socializing downtown,0.5776230096817017,0.487989217042923,0.44624605774879456,0.43088826537132263,0.6906057596206665,0.5035605430603027,0.4240504503250122,0.6788114309310913,0.4793930649757385,0.395760715007782,0.47245264053344727,0.6573653817176819,0.5691459774971008,0.5940728187561035,0.46880829334259033,0.5168254971504211,0.4638613760471344,0.5049307346343994,0.6436300277709961,0.626258134841919
some trees with a pond in the background,0.5442360639572144,0.575224757194519,0.5965291261672974,0.6129648089408875,0.5926049947738647,0.7437225580215454,0.5855761170387268,0.8020256757736206,0.6195452213287354,0.5057693123817444,0.48136842250823975,0.6627849340438843,0.6652517318725586,0.6675329208374023,0.5524824261665344,0.5761522650718689,0.6842482089996338,0.5926191806793213,0.6244357228279114,0.8337686061859131
